DAY:             0 DAY             1 DAY             2 DAY             3 DAY             4 DAY             5 DAY             6 DAY             7 DAY             8 DAY              TOTAL               
   0                 0               107                45                49                49                50                 0                 0                 0                300               
   1               107                45                49                49                50                 0                 0                 0                 0                300               
   2                45                49                49                50                 0                 0               107                 0               107                407               
   3                49                49                50                 0                 0               107                45               107                45                452               
   4                49                50                 0                 0               107                45               156                45                49                501               
   5                50                 0                 0               107                45               156                94                49                49                550               
   6                 0                 0               107                45               156                94                99                49                50                600               
   7                 0               107                45               156                94                99                49                50                 0                600               
   8               107                45               156                94                99                49                50                 0                 0                600               
   9                45               156                94                99                49                50               107                 0               107                707               
  10               156                94                99                49                50               107                45               107                45                752               
  11                94                99                49                50               107                45               263                45               156                908               
  12                99                49                50               107                45               263               139               156                94               1002               
  13                49                50               107                45               263               139               255                94                99               1101               
  14                50               107                45               263               139               255               143                99                49               1150               
  15               107                45               263               139               255               143               149                49                50               1200               
  16                45               263               139               255               143               149               156                50               107               1307               
  17               263               139               255               143               149               156                95               107                45               1352               
  18               139               255               143               149               156                95               370                45               263               1615               
  19               255               143               149               156                95               370               184               263               139               1754               
  20               143               149               156                95               370               184               518               139               255               2009               
  21               149               156                95               370               184               518               282               255               143               2152               
  22               156                95               370               184               518               282               404               143               149               2301               
  23                95               370               184               518               282               404               299               149               156               2457               
  24               370               184               518               282               404               299               244               156                95               2552               
  25               184               518               282               404               299               244               526                95               370               2922               
  26               518               282               404               299               244               526               279               370               184               3106               
  27               282               404               299               244               526               279               888               184               518               3624               
  28               404               299               244               526               279               888               466               518               282               3906               
  29               299               244               526               279               888               466               922               282               404               4310               
  30               244               526               279               888               466               922               581               404               299               4609               
  31               526               279               888               466               922               581               648               299               244               4853               
  32               279               888               466               922               581               648               825               244               526               5379               
  33               888               466               922               581               648               825               523               526               279               5658               
  34               466               922               581               648               825               523              1414               279               888               6546               
  35               922               581               648               825               523              1414               745               888               466               7012               
  36               581               648               825               523              1414               745              1810               466               922               7934               
  37               648               825               523              1414               745              1810              1047               922               581               8515               
  38               825               523              1414               745              1810              1047              1570               581               648               9163               
  39               523              1414               745              1810              1047              1570              1406               648               825               9988               
  40              1414               745              1810              1047              1570              1406              1171               825               523              10511               
  41               745              1810              1047              1570              1406              1171              2239               523              1414              11925               
  42              1810              1047              1570              1406              1171              2239              1268              1414               745              12670               
  43              1047              1570              1406              1171              2239              1268              3224               745              1810              14480               
  44              1570              1406              1171              2239              1268              3224              1792              1810              1047              15527               
  45              1406              1171              2239              1268              3224              1792              3380              1047              1570              17097               
  46              1171              2239              1268              3224              1792              3380              2453              1570              1406              18503               
  47              2239              1268              3224              1792              3380              2453              2741              1406              1171              19674               
  48              1268              3224              1792              3380              2453              2741              3645              1171              2239              21913               
  49              3224              1792              3380              2453              2741              3645              2439              2239              1268              23181               
  50              1792              3380              2453              2741              3645              2439              5463              1268              3224              26405               
  51              3380              2453              2741              3645              2439              5463              3060              3224              1792              28197               
  52              2453              2741              3645              2439              5463              3060              6604              1792              3380              31577               
  53              2741              3645              2439              5463              3060              6604              4245              3380              2453              34030               
  54              3645              2439              5463              3060              6604              4245              6121              2453              2741              36771               
  55              2439              5463              3060              6604              4245              6121              6098              2741              3645              40416               
  56              5463              3060              6604              4245              6121              6098              5180              3645              2439              42855               
  57              3060              6604              4245              6121              6098              5180              9108              2439              5463              48318               
  58              6604              4245              6121              6098              5180              9108              5499              5463              3060              51378               
  59              4245              6121              6098              5180              9108              5499             12067              3060              6604              57982               
  60              6121              6098              5180              9108              5499             12067              7305              6604              4245              62227               
  61              6098              5180              9108              5499             12067              7305             12725              4245              6121              68348               
  62              5180              9108              5499             12067              7305             12725             10343              6121              6098              74446               
  63              9108              5499             12067              7305             12725             10343             11301              6098              5180              79626               
  64              5499             12067              7305             12725             10343             11301             15206              5180              9108              88734               
  65             12067              7305             12725             10343             11301             15206             10679              9108              5499              94233               
  66              7305             12725             10343             11301             15206             10679             21175              5499             12067             106300               
  67             12725             10343             11301             15206             10679             21175             12804             12067              7305             113605               
  68             10343             11301             15206             10679             21175             12804             24792              7305             12725             126330               
  69             11301             15206             10679             21175             12804             24792             17648             12725             10343             136673               
  70             15206             10679             21175             12804             24792             17648             24026             10343             11301             147974               
  71             10679             21175             12804             24792             17648             24026             25549             11301             15206             163180               
  72             21175             12804             24792             17648             24026             25549             21980             15206             10679             173859               
  73             12804             24792             17648             24026             25549             21980             36381             10679             21175             195034               
  74             24792             17648             24026             25549             21980             36381             23483             21175             12804             207838               
  75             17648             24026             25549             21980             36381             23483             45967             12804             24792             232630               
  76             24026             25549             21980             36381             23483             45967             30452             24792             17648             250278               
  77             25549             21980             36381             23483             45967             30452             48818             17648             24026             274304               
  78             21980             36381             23483             45967             30452             48818             43197             24026             25549             299853               
  79             36381             23483             45967             30452             48818             43197             46006             25549             21980             321833               
  80             23483             45967             30452             48818             43197             46006             61930             21980             36381             358214               
  81             45967             30452             48818             43197             46006             61930             45463             36381             23483             381697               
  82             30452             48818             43197             46006             61930             45463             82348             23483             45967             427664               
  83             48818             43197             46006             61930             45463             82348             53935             45967             30452             458116               
  84             43197             46006             61930             45463             82348             53935             94785             30452             48818             506934               
  85             46006             61930             45463             82348             53935             94785             73649             48818             43197             550131               
  86             61930             45463             82348             53935             94785             73649             94824             43197             46006             596137               
  87             45463             82348             53935             94785             73649             94824            105127             46006             61930             658067               
  88             82348             53935             94785             73649             94824            105127             91469             61930             45463             703530               
  89             53935             94785             73649             94824            105127             91469            144278             45463             82348             785878               
  90             94785             73649             94824            105127             91469            144278             99398             82348             53935             839813               
  91             73649             94824            105127             91469            144278             99398            177133             53935             94785             934598               
  92             94824            105127             91469            144278             99398            177133            127584             94785             73649            1008247               
  93            105127             91469            144278             99398            177133            127584            189609             73649             94824            1103071               
  94             91469            144278             99398            177133            127584            189609            178776             94824            105127            1208198               
  95            144278             99398            177133            127584            189609            178776            186293            105127             91469            1299667               
  96             99398            177133            127584            189609            178776            186293            249405             91469            144278            1443945               
  97            177133            127584            189609            178776            186293            249405            190867            144278             99398            1543343               
  98            127584            189609            178776            186293            249405            190867            321411             99398            177133            1720476               
  99            189609            178776            186293            249405            190867            321411            226982            177133            127584            1848060               
 100            178776            186293            249405            190867            321411            226982            366742            127584            189609            2037669               
 101            186293            249405            190867            321411            226982            366742            306360            189609            178776            2216445               
 102            249405            190867            321411            226982            366742            306360            375902            178776            186293            2402738               
 103            190867            321411            226982            366742            306360            375902            428181            186293            249405            2652143               
 104            321411            226982            366742            306360            375902            428181            377160            249405            190867            2843010               
 105            226982            366742            306360            375902            428181            377160            570816            190867            321411            3164421               
 106            366742            306360            375902            428181            377160            570816            417849            321411            226982            3391403               
 107            306360            375902            428181            377160            570816            417849            688153            226982            366742            3758145               
 108            375902            428181            377160            570816            417849            688153            533342            366742            306360            4064505               
 109            428181            377160            570816            417849            688153            533342            742644            306360            375902            4440407               
 110            377160            570816            417849            688153            533342            742644            734541            375902            428181            4868588               
 111            570816            417849            688153            533342            742644            734541            753062            428181            377160            5245748               
 112            417849            688153            533342            742644            734541            753062            998997            377160            570816            5816564               
 113            688153            533342            742644            734541            753062            998997            795009            570816            417849            6234413               
 114            533342            742644            734541            753062            998997            795009           1258969            417849            688153            6922566               
 115            742644            734541            753062            998997            795009           1258969            951191            688153            533342            7455908               
 116            734541            753062            998997            795009           1258969            951191           1430797            533342            742644            8198552               
 117            753062            998997            795009           1258969            951191           1430797           1267883            742644            734541            8933093               
 118            998997            795009           1258969            951191           1430797           1267883           1495706            734541            753062            9686155               
 119            795009           1258969            951191           1430797           1267883           1495706           1733538            753062            998997           10685152               
 120           1258969            951191           1430797           1267883           1495706           1733538           1548071            998997            795009           11480161               
 121            951191           1430797           1267883           1495706           1733538           1548071           2257966            795009           1258969           12739130               
 122           1430797           1267883           1495706           1733538           1548071           2257966           1746200           1258969            951191           13690321               
 123           1267883           1495706           1733538           1548071           2257966           1746200           2689766            951191           1430797           15121118               
 124           1495706           1733538           1548071           2257966           1746200           2689766           2219074           1430797           1267883           16389001               
 125           1733538           1548071           2257966           1746200           2689766           2219074           2926503           1267883           1495706           17884707               
 126           1548071           2257966           1746200           2689766           2219074           2926503           3001421           1495706           1733538           19618245               
 127           2257966           1746200           2689766           2219074           2926503           3001421           3043777           1733538           1548071           21166316               
 128           1746200           2689766           2219074           2926503           3001421           3043777           3991504           1548071           2257966           23424282               
 129           2689766           2219074           2926503           3001421           3043777           3991504           3294271           2257966           1746200           25170482               
 130           2219074           2926503           3001421           3043777           3991504           3294271           4947732           1746200           2689766           27860248               
 131           2926503           3001421           3043777           3991504           3294271           4947732           3965274           2689766           2219074           30079322               
 132           3001421           3043777           3991504           3294271           4947732           3965274           5616269           2219074           2926503           33005825               
 133           3043777           3991504           3294271           4947732           3965274           5616269           5220495           2926503           3001421           36007246               
